Citation;Taxa studied;Biome;Realm;Country;Latitude (dec °);Longitude (dec °);Elev. (masl);RG sites;OG sites;Repl. data?;Author;Year;reference
Li et al. (2011);Epiphytes;Broadleaf;PA;China;24.063;101.278;2300;3;1;no;Li;2011;Lieberman, S. S. 1986. Ecology of the leaf litter herpetofauna of a neotropical rain forest: La Selva, Costa Rica. Acta Zool Mexicana.(Nueva Serie) 15:1–72.
Lieberman (1986);Reptiles and amphibians;Broadleaf;NT;Costa Rica;10.403;-84.021;60;1;1;no;Lieberman;1986;Liebsch, D., R. Goldenberg, and M. C. . Marques. 2007. Florística e estrutura de comunidades vegetais em uma cronoseqüência de Floresta Atlântica no Estado do Paraná, Brasil. Acta Botanica Brasilica 21:983–992.
Liebsch et al. (2007);Plants;Broadleaf;NT;Brazil;-25.435;-48.814;60;in 2008 study;;;Liebsch;2007;Liebsch, D., M. C. M. Marques, and R. Goldenberg. 2008. How long does the Atlantic Rain Forest take to recover after a disturbance? Changes in species composition and ecological features during secondary succession. Biological Conservation 141:1717–1725.
Liebsch et al. (2008) and contained studies;Plants;Broadleaf;NT;Brazil;-25.038;-48.861;350;13;5;yes;Liebsch;2008;Li, S., W. Liu, L. Wang, W. Ma, and L. Song. 2011. Biomass, diversity and composition of epiphytic macrolichens in primary and secondary forests in the subtropical Ailao Mountains, SW China. Forest Ecology and Management.
Luja et al. (2008);Reptiles;Transition;NT;Mexico;18.444;-89.104;150;36;36;no;Luja;2008;Luja, V. H., S. Herrando-Pérez, D. González-Solís, and L. Luiselli. 2008. Secondary Rain Forests are not Havens for Reptile Species in Tropical Mexico. Biotropica 40:747–757.
MacGregor-Fors et al. (2010);Birds;Conifer;NT;Mexico;19.399;-102.245;2750;2;1;no;MacGregor-Fors;2010;MacGregor-Fors, I., A. Blanco-García, and R. Lindig-Cisneros. 2010. Bird community shifts related to different forest restoration efforts: A case study from a managed habitat matrix in Mexico. Ecological Engineering 36:1492–1496.
Majer (1992);Ants;Broadleaf;NT;Brazil;-21.850;-46.567;1250;11;2;yes;Majer;1992;Majer, J. D. 1992. Ant Recolonisation of Rehabilitated Bauxite Mines of Pocos de Caldas, Brazil. Journal of Tropical Ecology 8:97–108.
Marin-Spiotta et al. (2007);Plants;Broadleaf;NT;Puerto Rico;18.017;-66.083;640;15;3;no;Marin-Spiotta;2007;Marín-Spiotta, E., W. L. Silver, and R. Ostertag. 2007. Long-term patterns in tropical reforestation: plant community composition and aboveground biomass accumulation. Ecological Applications 17:828–839.
Marsden (1998);Birds;Broadleaf;IM;Indonesia;-3.283;129.567;300;1;1;no;Marsden;1998;Marsden, S. J. 1998. Changes in bird abundance following selective logging on Seram, Indonesia. Conservation Biology 12:605–611.
McLachlan and Knispel (2005);Plants;Open;NA;Canada;49.867;-97.483;230;9;3;no;McLachlan and Knispel;2005;McLachlan, S. M., and A. L. Knispel. 2005. Assessment of long-term tallgrass prairie restoration in Manitoba, Canada. Biological Conservation 124:75–88.
