author;year;database;citation_ori;citation;DOI;Name;mail;BibTeX_reference;Title;Type;Journal;Authors;Citation;Taxa studied;Biome;Realm;Country;Latitude (dec °);Longitude (dec °);Elev. (masl);RG sites;OG sites;Repl. Data;;;;;;;;;;;;
Letcher and Chazdon;2009;PR;Letcher and Chazdon 2009;Letcher and Chazdon 2009;;;;LetcherAndChazdon2009;Rapid recovery of biomass, species richness, and species composition in a forest chronosequence in northeastern Costa Rica;Journal Article;Biotropica;Letcher, S. G.;;;;;;;;;;;;;;;;;;;;;;;
Lopez-Quintero;2012;PR;Lopez-Quintero et al. 2012;Lopez-Quintero 2012;;;;LopezQuinteroEtAl2012;Macrofungal diversity in Colombian Amazon forests varies with regions and regimes of disturbance;Journal;Article;LÃ³pez-Quintero, Carlos A.;;;;;;;;;;;;;;;;;;;;;;;
McNamara;2012;PR;McNamara et al. 2012;McNamara 2012;;;;McnamaraEtAl2012;Primary tree species diversity in secondary fallow forests of Laos;Journal Article;Forest Ecology and Management;McNamara, S.;;;;;;;;;;;;;;;;;;;;;;;
Noske;2008;PR;Noske et al. 2008;Noske 2008;;;;NoskeEtAl2008;Disturbance effects on diversity of epiphytes and moths in a montane forest in Ecuador;Journal Article;Basic and Applied Ecology;NÃ¶ske, Nicole M.;;;;;;;;;;;;;;;;;;;;;;;
Sheil;2002;PR;Sheil et al. 2002;Sheil 2002;;;;SheilEtAl2002;Exploring biological diversity, environment and local people's perspectives in forest landscapes: methods for a multidisciplinary landscape assessment;Report;;Sheil, Douglas;;;;;;;;;;;;;;;;;;;;;;;
Svenning;1998;PR;Svenning 1998;Svenning 1998;10.1023/a:1008831600795;;;Svenning1998;The effect of land-use on the local distribution of palm species in an Andean rain forest fragment in northwestern Ecuador;Journal Article;Biodiversity and Conservation;Svenning, J. C.;;;;;;;;;;;;;;;;;;;;;;;
Aravena;2002;CU;Aravena et al. 2002;Aravena 2002;;;;;Changes in tree species richness, stand structure and soil properties in a successional chronosequence in northern Chiloe Island;;Revista Chilena de Historia Natural;;;Plants;Broadleaf;NT;Chile;-43.122;-74.030;75;4;1;no;75:339–360.;;;;;;;;;;;
Buckney and Morrison;1992;CU;Buckney and Morrison 1992;Buckney and Morrison 1992;;;;;Temporal trends in plant species composition on mined sand dunes in Myall Lakes National Park;;Australian Journal of Ecology;;;Plants;Transition;AA;Australia;-32.410;152.470;80;3;4;yes;17:241–254.;;;;;;;;;;;
Chapman;1997;CU;Chapman et al. 1997;Chapman 1997;;;;;Forest Regeneration in Logged and Unlogged Forests of Kibale National Park;;Biotropica;;;Plants;Broadleaf;AT;Uganda;0.574;30.394;1500;2;2;yes;29:396–412.;;;;;;;;;;;
Eilu and Obua;2005;CU;Eilu and Obua 2005;Eilu and Obua 2005;;;;;Tree condition and natural regeneration in disturbed sites of Bwindi Impenetrable Forest National Park, southwestern;;Tropical Ecology;;;Plants;Broadleaf;AT;Uganda;-1.030;29.686;1750;4;2;yes;46:99–111.;;;;;;;;;;;
Fang and Peng;1997;CU;Fang and Peng 1997;Fang and Peng 1997;;;;;Development of species diversity in the restoration process of establishing a tropical man-made forest ecosystem in China;;Forest Ecology and Management;;;Plants;Transition;IM;China;21.464;110.905;40;7;1;no;99:185–196.;;;;;;;;;;;
Fukushima;2008;CU;Fukushima et al. 2008;Fukushima 2008;;;;;Secondary forest succession after the cessation of swidden cultivation in the montane forest area in Northern Thailand;;Forest Ecology and Management;;;Plants;Broadleaf;IM;Thailand;18.553;98.515;930;21;7;yes;255:1994–2006.;;;;;;;;;;;
