"id_comm";"id_study"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p34_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p35_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p36_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p37_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p38_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p39_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p3_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p40_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p41_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p42_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p43_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p44_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p45_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p46_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p47_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p48_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p49_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p4_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p50_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p51_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p52_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p53_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p54_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p55_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p56_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p57_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p58_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p59_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p5_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p60_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p61_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p62_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p63_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p64_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p65_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p66_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p67_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p68_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p69_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p6_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p70_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p71_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p7_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p8_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p9_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p100_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p1011_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p102_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p103_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p106_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p107_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p109_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p10_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p110_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p115_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p119_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p11_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p123_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p125_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p126_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p128_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p12_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p137_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p138_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p148_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p149_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p14_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
