"id_comm";"id_study"
"Brearley 2011_BorneoSecondaryVeg_58-08_NA";"PR_Brearley 2011_BorneoSecondaryVeg"
"Brearley 2011_BorneoSecondaryVeg_59-05_NA";"PR_Brearley 2011_BorneoSecondaryVeg"
"Brearley 2011_BorneoSecondaryVeg_59-08_NA";"PR_Brearley 2011_BorneoSecondaryVeg"
"Brearley 2011_BorneoSecondaryVeg_60-05_NA";"PR_Brearley 2011_BorneoSecondaryVeg"
"Brearley 2011_BorneoSecondaryVeg_60-08_NA";"PR_Brearley 2011_BorneoSecondaryVeg"
"Calvino-Cancela et al. 2012_Herbs & Ferns_IntEuc1_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_IntEuc2_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_IntEuc3_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_IntEuc4_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_IntEuc5_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_MatEuc1_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_MatEuc2_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_MatEuc3_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_MatEuc4_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_MatEuc5_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_NatFor1_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_NatFor2_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_NatFor3_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_NatFor4_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_NatFor5_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_PineP1_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_PineP2_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_PineP3_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_PineP4_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_PineP5_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_YngEuc1_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_YngEuc2_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_YngEuc3_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_YngEuc4_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Herbs & Ferns_YngEuc5_NA";"PR_Calvino-Cancela et al. 2012_Herbs & Ferns"
"Calvino-Cancela et al. 2012_Shrubs & Trees_IntEuc1_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_IntEuc2_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_IntEuc3_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_IntEuc4_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_IntEuc5_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_MatEuc1_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_MatEuc2_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_MatEuc3_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_MatEuc4_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_MatEuc5_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_NatFor1_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_NatFor2_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_NatFor3_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_NatFor4_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_NatFor5_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_PineP1_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_PineP2_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_PineP3_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_PineP4_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_PineP5_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_YngEuc1_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_YngEuc2_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_YngEuc3_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_YngEuc4_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Calvino-Cancela et al. 2012_Shrubs & Trees_YngEuc5_NA";"PR_Calvino-Cancela et al. 2012_Shrubs & Trees"
"Carvalho et al. 2010_Palm trees_Capoeira 27.5 years_NA";"PR_Carvalho et al. 2010_Palm trees"
"Carvalho et al. 2010_Palm trees_Capoeira 37.5 years_NA";"PR_Carvalho et al. 2010_Palm trees"
"Carvalho et al. 2010_Palm trees_Capoeira 7.5 years_NA";"PR_Carvalho et al. 2010_Palm trees"
"Carvalho et al. 2010_Palm trees_Primary Forest_NA";"PR_Carvalho et al. 2010_Palm trees"
"Castro et al. 2010_Montado_G1_NA";"PR_Castro et al. 2010_Montado"
"Castro et al. 2010_Montado_G2_NA";"PR_Castro et al. 2010_Montado"
"Castro et al. 2010_Montado_G3_NA";"PR_Castro et al. 2010_Montado"
"Castro et al. 2010_Montado_SA1_NA";"PR_Castro et al. 2010_Montado"
"Castro et al. 2010_Montado_SA2_NA";"PR_Castro et al. 2010_Montado"
"Castro et al. 2010_Montado_SA3_NA";"PR_Castro et al. 2010_Montado"
"Castro et al. 2010_Montado_SI1_NA";"PR_Castro et al. 2010_Montado"
"Castro et al. 2010_Montado_SI2_NA";"PR_Castro et al. 2010_Montado"
"Castro et al. 2010_Montado_SI3_NA";"PR_Castro et al. 2010_Montado"
"Fredriksson et al. 2007_Sun Bear Fruit_Burnt Sites_NA";"PR_Fredriksson et al. 2007_Sun Bear Fruit"
"Fredriksson et al. 2007_Sun Bear Fruit_Unburnt Sites_NA";"PR_Fredriksson et al. 2007_Sun Bear Fruit"
"Hylander and Weibull 2012_Bryophytes 2009_A3n_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_A3u_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_B13n_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_B13u_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_B1n_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_B1u_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_B2n_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_B2u_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_B3n_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_B3u_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_B7n_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_B7u_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_B8n_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_B8u_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_B9n_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_B9u_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_R10_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_R1_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_R2_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_R3_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_R5_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_R6_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_R7_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_R8_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_R9_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_T2n_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_T2u_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_T3n_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_T3u_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_T4n_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_T4u_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_T8n_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_T8u_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_T9n_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Hylander and Weibull 2012_Bryophytes 2009_T9u_NA";"PR_Hylander and Weibull 2012_Bryophytes 2009"
"Katovai et al. 2012_Understory plants; Solomon Islands_commercial.high1_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_commercial.high2_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_commercial.high3_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_commercial.high4_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_commercial.low1_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_commercial.low2_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_commercial.low3_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_commercial.low4_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_commercial.med1_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_commercial.med2_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_commercial.med3_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_commercial.med4_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_crater.high1_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_crater.high2_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_crater.high3_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_crater.high4_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_primary.high1_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_primary.high2_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_primary.high3_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_primary.high4_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_primary.low1_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_primary.low2_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_primary.low3_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_primary.low4_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_primary.med1_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_primary.med2_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_primary.med3_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_primary.med4_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_secondary.high1_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_secondary.high2_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_secondary.high3_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_secondary.high4_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_secondary.low1_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_secondary.low2_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_secondary.low3_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_secondary.low4_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_secondary.med1_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_secondary.med2_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_secondary.med3_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Katovai et al. 2012_Understory plants; Solomon Islands_secondary.med4_NA";"PR_Katovai et al. 2012_Understory plants; Solomon Islands"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 1 - LOC 600_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 10 - SHO 1550_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 11 - LEP 1650_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 12 - Juan Enriquez_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 13 - Sueno Azul_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 14 - El Bejuco_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 15 - STR 2450_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 16 - La Guarea inland_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 17 - Finca Jose Mora young_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 18 - Finca Ricardo Murillo_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 19 - LS 2850_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 2 - LEP 650_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 20 - Finca Jose Mora older_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 21 - Cuatro Rios_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 22 - Selva Verde old growth_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 23 - Tirimbina_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 24 - Selva Verde young_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 25 - Finca El Bejuco old growth_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 26 - Arrozal_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 27 - Manu_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 28 - Tirimbina old growth_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 29 - Botarrama_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 3 - LEP 450_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 30 - Aceituno_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 4 - LS 2250_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 5 - La Guarea high ground_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 6 - La Guarea low ground_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 7 - SSE 1550_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 8 - SHA 50_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Letcher and Chazdon 2009_Forest recovery Costa Rica_Transect 9 - SJ 1700_NA";"PR_Letcher and Chazdon 2009_Forest recovery Costa Rica"
"Lopez-Quintero et al. 2012_Fungi_Lopez_AM-FPF_AM";"PR_Lopez-Quintero et al. 2012_Fungi_Lopez"
"Lopez-Quintero et al. 2012_Fungi_Lopez_AM-MFIS_AM";"PR_Lopez-Quintero et al. 2012_Fungi_Lopez"
"Lopez-Quintero et al. 2012_Fungi_Lopez_AM-MF_AM";"PR_Lopez-Quintero et al. 2012_Fungi_Lopez"
"Lopez-Quintero et al. 2012_Fungi_Lopez_AM-RF_AM";"PR_Lopez-Quintero et al. 2012_Fungi_Lopez"
"Lopez-Quintero et al. 2012_Fungi_Lopez_AR-18y_AR";"PR_Lopez-Quintero et al. 2012_Fungi_Lopez"
"Lopez-Quintero et al. 2012_Fungi_Lopez_AR-1y_AR";"PR_Lopez-Quintero et al. 2012_Fungi_Lopez"
"Lopez-Quintero et al. 2012_Fungi_Lopez_AR-23y_AR";"PR_Lopez-Quintero et al. 2012_Fungi_Lopez"
"Lopez-Quintero et al. 2012_Fungi_Lopez_AR-30y_AR";"PR_Lopez-Quintero et al. 2012_Fungi_Lopez"
"Lopez-Quintero et al. 2012_Fungi_Lopez_AR-42y_AR";"PR_Lopez-Quintero et al. 2012_Fungi_Lopez"
"Lopez-Quintero et al. 2012_Fungi_Lopez_AR-MF_AR";"PR_Lopez-Quintero et al. 2012_Fungi_Lopez"
"Lopez-Quintero et al. 2012_Fungi_Lopez_AR-PR_AR";"PR_Lopez-Quintero et al. 2012_Fungi_Lopez"
"Lopez-Quintero et al. 2012_Plants_Lopez_AM-FPF_AM";"PR_Lopez-Quintero et al. 2012_Plants_Lopez"
"Lopez-Quintero et al. 2012_Plants_Lopez_AM-MFIS_AM";"PR_Lopez-Quintero et al. 2012_Plants_Lopez"
"Lopez-Quintero et al. 2012_Plants_Lopez_AM-MF_AM";"PR_Lopez-Quintero et al. 2012_Plants_Lopez"
"Lopez-Quintero et al. 2012_Plants_Lopez_AM-RF_AM";"PR_Lopez-Quintero et al. 2012_Plants_Lopez"
"Lopez-Quintero et al. 2012_Plants_Lopez_AR-18y_AR";"PR_Lopez-Quintero et al. 2012_Plants_Lopez"
"Lopez-Quintero et al. 2012_Plants_Lopez_AR-23y_AR";"PR_Lopez-Quintero et al. 2012_Plants_Lopez"
"Lopez-Quintero et al. 2012_Plants_Lopez_AR-30y_AR";"PR_Lopez-Quintero et al. 2012_Plants_Lopez"
"Lopez-Quintero et al. 2012_Plants_Lopez_AR-42y_AR";"PR_Lopez-Quintero et al. 2012_Plants_Lopez"
"Lopez-Quintero et al. 2012_Plants_Lopez_AR-MF_AR";"PR_Lopez-Quintero et al. 2012_Plants_Lopez"
"Lopez-Quintero et al. 2012_Plants_Lopez_AR-PR_AR";"PR_Lopez-Quintero et al. 2012_Plants_Lopez"
"McNamara et al. 2012_McNamara Laos fallow_FH1_NA";"PR_McNamara et al. 2012_McNamara Laos fallow"
"McNamara et al. 2012_McNamara Laos fallow_FH2_NA";"PR_McNamara et al. 2012_McNamara Laos fallow"
"McNamara et al. 2012_McNamara Laos fallow_FH3_NA";"PR_McNamara et al. 2012_McNamara Laos fallow"
"McNamara et al. 2012_McNamara Laos fallow_FH4_NA";"PR_McNamara et al. 2012_McNamara Laos fallow"
"McNamara et al. 2012_McNamara Laos fallow_FH5_NA";"PR_McNamara et al. 2012_McNamara Laos fallow"
"McNamara et al. 2012_McNamara Laos fallow_FH6_NA";"PR_McNamara et al. 2012_McNamara Laos fallow"
"McNamara et al. 2012_McNamara Laos fallow_FL1_NA";"PR_McNamara et al. 2012_McNamara Laos fallow"
"McNamara et al. 2012_McNamara Laos fallow_FL2_NA";"PR_McNamara et al. 2012_McNamara Laos fallow"
"McNamara et al. 2012_McNamara Laos fallow_FL3_NA";"PR_McNamara et al. 2012_McNamara Laos fallow"
"McNamara et al. 2012_McNamara Laos fallow_FL4_NA";"PR_McNamara et al. 2012_McNamara Laos fallow"
"McNamara et al. 2012_McNamara Laos fallow_FL5_NA";"PR_McNamara et al. 2012_McNamara Laos fallow"
"McNamara et al. 2012_McNamara Laos fallow_FL6_NA";"PR_McNamara et al. 2012_McNamara Laos fallow"
"McNamara et al. 2012_McNamara Laos fallow_RF1_NA";"PR_McNamara et al. 2012_McNamara Laos fallow"
"McNamara et al. 2012_McNamara Laos fallow_RF2_NA";"PR_McNamara et al. 2012_McNamara Laos fallow"
"McNamara et al. 2012_McNamara Laos fallow_RF3_NA";"PR_McNamara et al. 2012_McNamara Laos fallow"
"McNamara et al. 2012_McNamara Laos fallow_RF4_NA";"PR_McNamara et al. 2012_McNamara Laos fallow"
"McNamara et al. 2012_McNamara Laos fallow_RF5_NA";"PR_McNamara et al. 2012_McNamara Laos fallow"
"McNamara et al. 2012_McNamara Laos fallow_RF6_NA";"PR_McNamara et al. 2012_McNamara Laos fallow"
"Noske et al. 2008_Epiphytes Ecuador_M1_NA";"PR_Noske et al. 2008_Epiphytes Ecuador"
"Noske et al. 2008_Epiphytes Ecuador_M2_NA";"PR_Noske et al. 2008_Epiphytes Ecuador"
"Noske et al. 2008_Epiphytes Ecuador_R1_NA";"PR_Noske et al. 2008_Epiphytes Ecuador"
